7.5 OTB NAME
100 100 stranger dimension
101 101 earth
102 102 grass
103 103 dirt
104 104 sand
105 105 gravel
106 106 grass
107 107 rock soil
108 108 flowers
109 109 flowers
110 110 grass
111 111 grass
112 112 grass
113 113 grass
114 114 grass
115 115 grass
116 116 grass
117 117 grass
118 118 grass
119 119 grass
120 120 grass
121 121 grass
122 122 grass
123 123 grass
124 124 grass
125 125 grass
126 126 grass
127 127 grass
128 128 grass
129 129 grass
130 130 grass
131 131 grass
132 132 grass
133 133 grass
134 134 sand
135 135 sand
136 136 sand
137 137 sand
138 138 sand
139 139 sand
140 140 sand
141 141 sand
142 142 sand
143 143 sand
144 144 sand
145 145 sand
146 146 gravel
147 147 gravel
148 148 gravel
149 149 gravel
150 150 gravel
151 151 gravel
152 152 gravel
153 153 gravel
154 154 gravel
155 155 gravel
156 156 gravel
157 157 gravel
158 158 sand
159 159 sand
160 160 sand
161 161 sand
162 162 sand
163 163 sand
164 164 sand
165 165 sand
166 166 sand
167 167 sand
168 168 sand
169 169 sand
170 170 gravel
171 171 gravel
172 172 gravel
173 173 gravel
174 174 gravel
175 175 gravel
176 176 gravel
177 177 gravel
178 178 gravel
179 179 gravel
180 180 gravel
181 181 gravel
182 182 grass
183 183 grass
184 184 grass
185 185 grass
186 186 grass
187 187 grass
188 188 grass
189 189 grass
190 190 grass
191 191 grass
192 192 grass
193 193 grass
194 194 grass
195 195 grass
196 196 grass
197 197 grass
198 198 grass
199 199 grass
200 200 grass
201 201 grass
202 202 grass
203 203 grass
204 204 grass
205 205 grass
206 206 grass
207 207 gravel
208 208 gravel
209 209 gravel
210 210 gravel
211 211 gravel
212 212 gravel
213 213 gravel
214 214 gravel
215 215 gravel
216 216 gravel
217 217 gravel
218 218 gravel
219 219 grass
220 220 grass
221 221 grass
222 222 grass
223 223 grass
224 224 grass
225 225 grass
226 226 grass
227 227 grass
228 228 grass
229 229 grass
230 230 grass
231 231 sand
232 232 grass
233 233 grass
234 234 grass
235 235 grass
236 236 grass
237 237 grass
238 238 grass
239 239 grass
240 240 grass
241 241 grass
242 242 grass
243 243 grass
244 244 sand
245 245 sand
246 246 sand
247 247 sand
248 248 sand
249 249 sand
250 250 sand
251 251 sand
252 252 sand
253 253 sand
254 254 sand
255 255 sand
256 256 rock soil
257 257 rock soil
258 258 rock soil
259 259 rock soil
260 260 rock soil
261 261 rock soil
262 262 rock soil
263 263 rock soil
264 264 rock soil
265 265 rock soil
266 266 rock soil
267 267 rock soil
268 268 grass
269 269 grass
270 270 grass
271 271 grass
272 272 grass
273 273 grass
274 274 grass
275 275 grass
276 276 grass
277 277 grass
278 278 grass
279 279 grass
280 280 grass
281 281 grass
282 282 grass
283 283 grass
284 284 grass
285 285 grass
286 286 grass
287 287 grass
288 288 grass
289 289 grass
290 290 grass
291 291 grass
292 292 grass
293 293 grass
294 294 hole
295 295 grass
296 296 grass
297 297 grass
298 298 grass
299 299 grass
300 300 grass
301 301 grass
302 302 grass
303 303 grass
304 304 grass
305 305 grass
306 306 grass
307 307 grass
308 308 grass
309 309 grass
310 310 grass
311 311 grass
312 312 grass
313 313 grass
314 314 grass
315 315 grass
316 316 grass
317 317 grass
318 318 grass
319 319 sand
320 320 sand
321 321 sand
322 322 sand
323 323 sand
324 324 sand
325 325 sand
326 326 sand
327 327 grass
328 328 grass
329 329 grass
330 330 grass
331 331 grass
332 332 grass
333 333 grass
334 334 grass
335 335 sand
336 336 sand
337 337 sand
338 338 sand
339 339 sand
340 340 sand
341 341 sand
342 342 sand
343 343 gravel
344 344 gravel
345 345 gravel
346 346 gravel
347 347 gravel
348 348 gravel
349 349 gravel
350 350 gravel
351 351 dirt
352 352 dirt
353 353 dirt
354 354 dirt
355 355 muddy floor
356 356 dirt wall
357 357 dirt wall
358 358 dirt wall
359 359 dirt wall
360 360 dirt wall
361 361 dirt wall
362 362 dirt wall
363 363 dirt wall
364 364 dirt wall
365 365 dirt wall
366 366 dirt wall
367 367 dirt wall
368 368 earth ground
369 369 trapdoor
370 370 trapdoor
371 371 dirt wall
372 372 dirt wall
373 373 dirt wall
374 374 dirt wall
375 375 dirt wall
376 376 dirt wall
377 377 dirt wall
378 378 dirt wall
379 379 dirt wall
380 380 dirt wall
381 381 dirt wall
382 382 dirt wall
383 383 hole
384 384 hole
385 385 hole
386 386 stalagmite
387 387 stalagmite
388 388 lava hole, without lava
389 389 lava hole, with lava
390 390 stalagmite
391 391 stalagmite
392 392 hole
393 393 grass
394 394 grass
395 395 grass
396 396 grass
397 397 grass
398 398 grass
399 399 grass
400 400 grass
401 401 grass
402 402 grass
403 403 grass
404 404 grass
405 405 wooden floor
406 406 white marble floor
407 407 black marble floor
408 408 trapdoor
409 409 ladder
410 410 trapdoor
411 411 stair
412 412 stone tile
413 413 a tile
414 414 tiled floor
415 415 stone floor
416 416 stone tile
417 417 stone tile
418 418 stone tile
419 419 stone tile
420 420 tiled floor
421 421 a tile
422 422 a tile
423 423 stair
424 424 stone tile
425 425 stone tile
426 426 stone tile
427 427 trapdoor
428 428 ladder
429 429 trapdoor
430 430 sewer grate
431 431 stone floor
432 432 stair
433 433 stairs
434 434 wooden floor
435 435 wooden floor
436 436 wooden floor
437 437 wooden floor
438 438 wooden floor
439 439 wooden floor
440 440 wooden floor
441 441 wooden floor
442 442 wooden floor
443 443 wooden floor
444 444 wooden floor
445 445 wooden floor
446 446 wooden floor
447 447 wooden floor
448 448 wooden floor
449 449 wooden floor
450 450 wooden floor
451 451 wooden floor
452 452 wooden floor
453 453 wooden floor
454 454 wooden floor
455 455 wooden floor
456 456 wooden floor
457 457 marble
458 458 wooden floor
459 459 a ramp
460 460 a ramp
461 461 trap
462 462 open trap
463 463 altar
464 464 sandstone wall
465 465 stone tile
466 466 sandstone wall
467 467 stone tile
579 468 stone
580 469 hole
581 470 hole
582 471 time tile
583 472 time tile
584 473 time tile
585 474 time tile
586 475 hole
587 476 hole
588 477 ramp
589 478 ramp
590 479 hole
591 480 hole
592 481 stone
593 482 hole
594 483 stone
595 484 hole
596 485 ice
597 486 sand
598 487 sand
599 488 ramp
600 489 hole
601 490 water
602 491 water
603 492 water
604 493 water
605 494 water
606 495 water
607 496 water
608 497 water
609 498 water
610 499 water
611 500 water
612 501 water
613 502 water
614 503 water
615 504 water
616 505 water
617 506 water
618 507 water
619 508 water
620 509 water
621 510 water
622 511 water
623 512 water
624 513 water
625 514 water
626 515 water
627 516 water
628 517 water
629 518 lava
630 519 lava
631 520 lava
632 521 lava
633 522 lava
634 523 lava
635 524 lava
636 525 lava
637 526 lava
638 527 lava
639 528 lava
640 529 lava
641 530 swamp
642 531 swamp
643 532 swamp
644 533 swamp
645 534 swamp
646 535 swamp
647 536 swamp
648 537 swamp
649 538 swamp
650 539 swamp
651 540 swamp
652 541 swamp
653 542 lava
654 543 lava
655 544 lava
656 545 lava
657 546 lava
658 547 lava
659 548 lava
660 549 lava
661 550 lava
662 551 lava
663 552 lava
664 553 lava
665 554 lava
666 555 lava
667 556 lava
668 557 lava
669 558 lava
670 559 lava
671 560 lava
672 561 lava
673 562 lava
674 563 lava
675 564 lava
676 565 lava
677 566 water
678 567 water
679 568 water
680 569 water
681 570 water
682 571 water
683 572 water
684 573 water
685 574 water
686 575 water
687 576 water
688 577 water
689 578 water
690 579 water
691 580 water
692 581 water
693 582 water
694 583 water
695 584 water
696 585 water
697 586 water
698 587 water
699 588 water
700 589 water
701 590 water
702 591 water
703 592 water
704 593 water
705 594 water
706 595 water
707 596 water
708 597 water
709 598 lava
710 599 lava
711 600 lava
712 601 lava
713 602 swamp
714 603 swamp
715 604 swamp
716 605 swamp
717 606 water
718 607 water
719 608 water
720 609 water
721 610 water
722 611 water
723 612 water
724 613 water
725 614 water
726 615 water
727 616 water
728 617 water
729 618 water
730 619 water
731 620 water
732 621 water
733 622 water
734 623 water
735 624 water
736 625 water
737 626 water
738 627 water
739 628 water
740 629 water
741 630 water
742 631 water
743 632 water
744 633 water
745 634 water
746 635 water
747 636 water
748 637 water
749 638 swamp
750 639 swamp
751 640 swamp
752 641 swamp
753 642 swamp
754 643 swamp
755 644 swamp
756 645 swamp
757 646 swamp
758 647 swamp
759 648 swamp
760 649 swamp
761 650 swamp
762 651 swamp
763 652 swamp
764 653 swamp
765 654 swamp
766 655 swamp
767 656 swamp
768 657 swamp
769 658 water
770 659 water
771 660 water
772 661 water
773 662 water
774 663 water
775 664 water
776 665 water
777 666 water
778 667 water
779 668 water
780 669 water
781 670 snow
782 671 ice
783 672 grass
784 673 grass
785 674 grass
786 675 grass
787 676 grass
788 677 grass
789 678 grass
790 679 grass
791 680 grass
792 681 grass
793 682 grass
794 683 grass
795 684 ice
796 685 ice
797 686 ice
798 687 ice
799 688 ice
800 689 ice
801 690 ice
802 691 ice
803 692 ice
804 693 ice
805 694 ice
806 695 ice
807 696 ice
808 697 ice
809 698 ice
810 699 ice
811 700 ice
812 701 ice
813 702 ice
814 703 ice
815 704 ice
816 705 ice
817 706 ice
818 707 ice
819 708 tar
820 709 tar
821 710 tar
822 711 tar
823 712 tar
824 713 tar
825 714 tar
826 715 tar
827 716 tar
828 717 tar
829 718 tar
830 719 tar
831 720 tar
832 721 tar
833 722 tar
834 723 tar
852 724 cobbled pavement
853 725 cobbled pavement
854 726 cobbled pavement
855 727 cobbled pavement
856 728 cobbled pavement
857 729 cobbled pavement
858 730 cobbled pavement
859 731 cobbled pavement
860 732 cobbled pavement
861 733 cobbled pavement
862 734 cobbled pavement
863 735 cobbled pavement
864 736 cobbled pavement
865 737 cobbled pavement
866 738 cobbled pavement
867 739 cobbled pavement
868 740 cobbled pavement
869 741 cobbled pavement
870 742 cobbled pavement
871 743 cobbled pavement
872 744 cobbled pavement
873 745 cobbled pavement
874 746 cobbled pavement
875 747 cobbled pavement
876 748 cobbled pavement
877 749 cobbled pavement
878 750 cobbled pavement
879 751 cobbled pavement
880 752 cobbled pavement
881 753 cobbled pavement
882 754 cobbled pavement
883 755 cobbled pavement
884 756 cobbled pavement
885 757 cobbled pavement
886 758 cobbled pavement
887 759 cobbled pavement
888 760 cobbled pavement
889 761 cobbled pavement
890 762 cobbled pavement
891 763 cobbled pavement
892 764 cobbled pavement
893 765 cobbled pavement
894 766 cobbled pavement
895 767 cobbled pavement
896 768 cobbled pavement
897 769 cobbled pavement
898 770 cobbled pavement
899 771 cobbled pavement
900 772 cobbled pavement
901 773 cobbled pavement
902 774 cobbled pavement
903 775 cobbled pavement
904 776 cobbled pavement
905 777 sand stone
906 778 sand stone
907 779 sand stone
908 780 sand stone
909 781 sand stone
910 782 sand stone
911 783 sand stone
